,CandID
0,50037
1,50036
2,50035
3,48608
4,48609
5,4686
6,48607
7,246662
8,48579
9,48580
10,48577
11,48578
12,48535
13,18679
14,48533
15,48491
16,48532
17,97341
18,161819
19,97348
20,161820
21,48531
22,48493
23,161823
24,161824
25,95514
26,161822
27,161821
28,48492
29,48490
30,161817
31,19673
32,161818
33,42356
34,161815
35,161814
36,161816
37,48489
38,7871
39,161813
40,161812
41,161811
42,48488
43,161825
44,42363
45,42360
46,42361
47,42348
48,42355
49,42359
50,42353
51,42330
52,42327
53,42347
54,42354
55,42358
56,42346
57,42357
58,42352
59,42350
60,42349
61,42351
62,42343
63,36731
64,42335
65,4702
66,42339
67,42345
68,42344
69,42341
70,42311
71,4038
72,42313
73,42332
74,42338
75,42337
76,42340
77,42333
78,19159
79,42334
80,42336
81,42294
82,42342
83,17519
84,42328
85,42329
86,42331
87,42326
88,42070
89,4922
90,42314
91,42308
92,35212
93,42309
94,608
95,42312
96,42310
97,42072
98,42305
99,42304
100,42306
101,42307
102,4919
103,77382
104,77383
105,86699
106,19663
107,42301
108,42303
109,459
110,6486
111,92592
112,7488
113,42289
114,21052
115,42295
116,42288
117,42291
118,42296
119,42297
120,42298
121,19645
122,7828
123,7833
124,42287
125,7865
126,132151
127,132152
128,132153
129,73345
130,21349
131,7487
132,42285
133,42286
134,7484
135,109
136,8415
137,2093
138,42283
139,42284
140,42280
141,4921
142,42277
143,42276
144,42278
145,21526
146,42279
147,42281
148,191
149,78974
150,213569
151,42263
152,42036
153,42262
154,110
155,111
156,42260
157,42259
158,42258
159,2085
160,42261
161,7244
162,2091
163,114843
164,73955
165,114842
166,114841
167,42393
168,22593
169,26695
170,28044
171,2538
172,11291
173,28134
174,2549
175,6738
176,297311
177,3501
178,297405
179,10686
180,233350
181,101084
182,334001
183,338529
184,338534
185,223652
186,210969
187,210976
188,210975
189,210974
190,210978
191,210486
192,210487
193,210482
194,210483
195,210484
196,210485
197,210445
198,58360
199,210446
200,94628
201,94629
202,94626
203,94627
204,94630
205,58367
206,94631
207,86685
208,86684
209,86700
210,18700
211,82334
212,86653
213,74021
214,86648
215,86654
216,86650
217,86651
218,27800
219,86649
220,86652
221,86657
222,211267
223,605
224,42395
225,42390
226,6683
227,42389
228,42392
229,73532
230,42384
231,20922
232,72673
233,42379
234,42380
235,42377
236,2088
237,2540
238,42373
239,2541
240,96858
241,63345
242,113689
243,2547
244,6694
245,28084
246,166986
247,216010
248,53479
249,53701
250,66190
251,66193
252,66196
253,16278
254,16299
255,9564
256,138108
257,137341
258,138109
259,133191
260,9566
261,233070
262,133192
263,16268
264,53481
265,77381
266,138110
267,196619
268,20250
269,20247
270,2102
271,15139
272,196618
273,20251
274,20248
275,136597
276,133517
277,196616
278,45905
279,20249
280,45904
281,30530
282,89773
283,20246
284,135062
285,137
286,213932
287,213931
288,213933
289,213930
290,9562
291,92754
292,92755
293,133198
294,138111
295,213949
296,213948
297,89760
298,213947
299,460
300,2562
301,58552
302,461
303,135063
304,9563
305,69929
306,213881
307,138112
308,23291
309,136600
310,213966
311,135066
312,145399
313,604
314,213967
315,2566
316,4635
317,4637
318,4636
319,141
320,68737
321,2098
322,2101
323,80095
324,140
325,139
326,2570
327,3742
328,2097
329,2100
330,3320
331,2099
332,138
333,142
334,143
335,130779
336,19079
337,69845
338,2569
339,2564
340,18340
341,124095
342,124655
343,68684
344,68758
345,19082
346,234785
347,19087
348,234784
349,6786
350,338552
351,338554
352,213793
353,338553
354,66212
355,66199
356,66202
357,66216
358,66221
359,135074
360,135061
361,135073
362,16298
363,135072
364,132086
365,136585
366,137316
367,135059
368,137354
369,136589
370,218536
371,218535
372,133501
373,218537
374,218538
375,218539
376,135068
