,RaceID,Web,Party,PartyID,Name,CandID,Votes,Share,Source,Source Link,Office,Contributor Name,ContributorID,Turnout,Type,Term Start_date,Term Start Year,Term Start Month,Term End_date,Term End Year,Term End Month,Polls Close_date,Poll Year,Poll Month,State,County_x,City,Term Length,County_y,web,state,city,CityID
0,689043, http://www.ci.akron.oh.us/mayor/, Democratic,1, (I) Donald L. Plusquellic,51506,"22,458",100.0, , http://www.summitcountyboe.com/ElectionResults/Results/elec1199.txt, Mayor, RBH,1989,,,2000-01-03,2000.0,1.0,2004-01-03,2004.0,1.0,1999-11-02,1999.0,11.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
1,102753, http://www.ci.akron.oh.us/mayor/, Democratic,1, (I) Mayor Donald L. Plusquellic,51506,"26,967",70.71, Summit County Board of Elections , http://www.electionsonthe.net/oh/summit/, Mayor, ...,662,17.57, General Election,2004-01-12,2004.0,1.0,2008-01-14,2008.0,1.0,2003-11-04,2003.0,11.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
2,102753, , Republican,2, St. Rep. Bryan C. Williams,27841,"11,171",29.29, Summit County Board of Elections , http://www.electionsonthe.net/oh/summit/, Mayor, ...,662,17.57, General Election,2004-01-12,2004.0,1.0,2008-01-14,2008.0,1.0,2003-11-04,2003.0,11.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
3,362289, http://www.ci.akron.oh.us/mayor/, Democratic,1, (I) Mayor Donald L. Plusquellic,51506,"15,895",100.0, , http://www.summitcountyboe.com/ElectionResults/Results/elec110607.htm, Mayor, None Entered,1796,7.32, General Election,2008-01-03,2008.0,1.0,2012-01-03,2012.0,1.0,2007-11-06,2007.0,11.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
4,745054, http://www.ci.akron.oh.us/mayor/, Democratic,1, (I) Mayor Donald L. Plusquellic,51506,"12,497",55.02, , http://www.summitcountyboe.com/ElectionResults/Results/elect091311P.htm, Mayor, 00,8014,10.95, Democratic Primary Election,2012-01-03,2012.0,1.0,2016-01-03,2016.0,1.0,2011-09-13,2011.0,9.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
5,745054, http://www.williamsforakron.com/, Democratic,1, Michael Williams,283942,"9,756",42.95, , http://www.summitcountyboe.com/ElectionResults/Results/elect091311P.htm, Mayor, 00,8014,10.95, Democratic Primary Election,2012-01-03,2012.0,1.0,2016-01-03,2016.0,1.0,2011-09-13,2011.0,9.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
6,745054, , Democratic,1, Janice Davis,283945,462,2.03, , http://www.summitcountyboe.com/ElectionResults/Results/elect091311P.htm, Mayor, 00,8014,10.95, Democratic Primary Election,2012-01-03,2012.0,1.0,2016-01-03,2016.0,1.0,2011-09-13,2011.0,9.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
7,745055, http://jenniferhensal.com/, Republican,2, Jennifer Hensal,283943,"1,052",65.67, , http://www.summitcountyboe.com/ElectionResults/Results/elect091311P.htm, Mayor, 00,8014,0.77, Republican Primary Election,2012-01-03,2012.0,1.0,2016-01-03,2016.0,1.0,2011-09-13,2011.0,9.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
8,745055, , Republican,2, Katie Marie Wilkins,283944,550,34.33, , http://www.summitcountyboe.com/ElectionResults/Results/elect091311P.htm, Mayor, 00,8014,0.77, Republican Primary Election,2012-01-03,2012.0,1.0,2016-01-03,2016.0,1.0,2011-09-13,2011.0,9.0, Ohio , Summit , Akron ,4.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
9,745056, http://www.ci.akron.oh.us/mayor/, Democratic,1, (I) Mayor Donald L. Plusquellic,51506,"31,674",70.29, , http://www.summitcountyboe.com/ElectionResults/Results/elect110811G.htm, Mayor, 00,8014,21.72, General Election,2012-01-03,2012.0,1.0,2015-05-31,2015.0,5.0,2011-11-08,2011.0,11.0, Ohio , Summit , Akron ,3.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
10,745056, http://jenniferhensal.com/, Republican,2, Jennifer Hensal,283943,"13,389",29.71, , http://www.summitcountyboe.com/ElectionResults/Results/elect110811G.htm, Mayor, 00,8014,21.72, General Election,2012-01-03,2012.0,1.0,2015-05-31,2015.0,5.0,2011-11-08,2011.0,11.0, Ohio , Summit , Akron ,3.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
11,803969, , Democratic,1, Garry Moneypenny,355290,1,100.0, , , Mayor, RP,1,,,2015-06-01,2015.0,6.0,2015-06-10,2015.0,6.0,2015-06-01,2015.0,6.0, Ohio , Summit , Akron ,0.0, Summit ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
12,457673, , Democratic,1, Gerald D. Jennings,153129,"21,604",73.29, Times-Union 11/3/93, , Mayor, nystate63,1087,,,1994-01-01,1994.0,1.0,1998-01-01,1998.0,1.0,1993-11-02,1993.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
13,457673, , Republican,2, Phil Sprio,191073,"4,573",15.51, Times-Union 11/3/93, , Mayor, nystate63,1087,,,1994-01-01,1994.0,1.0,1998-01-01,1998.0,1.0,1993-11-02,1993.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
14,457673, , Conservative,30, Harold L. Joyce,191074,"3,074",10.43, Times-Union 11/3/93, , Mayor, nystate63,1087,,,1994-01-01,1994.0,1.0,1998-01-01,1998.0,1.0,1993-11-02,1993.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
15,457673, , Independent,5, Senley E. Jack,88011,225,0.76, Times-Union 11/3/93, , Mayor, nystate63,1087,,,1994-01-01,1994.0,1.0,1998-01-01,1998.0,1.0,1993-11-02,1993.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
16,457672, , Democratic,1, (I) Mayor Gerald D. Jennings,153129,"16,375",78.59, Times-Union 11/6/97, , Mayor, nystate63,1087,,,1998-01-01,1998.0,1.0,2002-01-01,2002.0,1.0,1997-11-04,1997.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
17,457672, , Liberal,33, St. Rep. John J. McEneny,47035,"4,462",21.41, Times-Union 11/6/97, , Mayor, nystate63,1087,,,1998-01-01,1998.0,1.0,2002-01-01,2002.0,1.0,1997-11-04,1997.0,11.0, New York , Albany , Albany ,4.0, Albany ,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790534,new york,albany,318.0
