,CandID
0,51506
1,27841
2,283942
3,283945
4,283943
5,283944
6,355290
7,153129
8,191073
9,191074
10,88011
11,47035
12,46143
13,191072
14,45786
15,48385
16,219930
17,215846
18,220132
19,225647
20,273283
21,339075
22,202493
23,101356
24,202494
25,224503
26,13767
27,224504
28,13264
29,224505
30,224506
31,13259
32,497
33,110712
34,101362
35,101363
36,23062
37,101364
38,156300
39,30530
40,96625
41,94012
42,101357
43,101358
44,101359
45,101360
46,93979
47,94011
48,93988
49,130304
50,3042
51,22593
52,217502
53,348976
54,225515
55,225525
56,225518
57,225524
58,225522
59,225523
60,225516
61,225517
62,138825
63,1837
64,225519
65,225520
66,7718
67,225521
68,225510
69,8096
70,14987
71,191
72,225511
73,225513
74,225512
75,225514
76,313166
77,359332
78,89153
79,133188
80,89158
81,16007
82,89159
83,89164
84,105336
85,89161
86,89166
87,75835
88,89160
89,212372
90,91902
91,137923
92,302314
93,382246
94,382247
95,3613
96,245447
97,315100
98,315101
99,136278
100,250654
101,250653
102,257978
103,356336
104,460
105,133198
106,214148
107,275195
108,275196
109,229020
110,275197
111,275198
112,20248
113,229021
114,229019
115,229022
116,92754
117,135062
118,133513
119,275192
120,208167
121,275193
122,68728
123,275194
124,9095
125,9092
126,201440
127,201444
128,201442
129,201445
130,135060
131,16301
132,201446
133,9097
134,201441
135,201447
136,201443
137,275187
138,19075
139,275185
140,275191
141,275190
142,275189
143,275186
144,275188
145,9093
146,127950
147,201437
148,6787
149,19042
150,26
151,201436
152,201439
153,201438
154,9098
155,9094
156,2560
157,9099
158,2569
159,9096
160,138
161,127951
162,208164
163,19079
164,208165
165,208166
166,208163
167,208878
168,208169
169,208877
170,208875
171,208876
172,208171
173,208874
174,184980
175,19082
176,345810
177,68684
178,345814
179,345809
180,345815
181,312620
182,345811
183,345812
184,345813
185,81030
186,9014
187,101006
188,94961
189,213560
190,119037
191,207764
192,213562
193,223073
194,213561
195,213559
196,223074
197,336938
198,336937
199,336936
200,336935
201,208726
202,208731
203,208732
204,208733
205,208730
206,208729
207,208728
208,208727
209,252026
210,259384
211,165197
212,363791
213,363792
214,363793
215,363794
216,363795
217,258048
218,258049
219,258054
220,258050
221,258051
222,258052
223,330981
224,330982
225,360411
226,360412
227,246286
228,4197
229,246291
230,246293
231,246294
232,246295
233,296099
234,18772
235,296106
236,296105
237,296103
238,94806
239,296104
240,15672
241,38179
242,167867
243,30030
244,296098
245,296097
246,296101
247,163182
248,296102
249,296100
250,278722
251,258949
252,296096
253,8416
254,296094
255,230850
256,296095
257,203322
258,25068
259,293569
260,163170
261,163171
262,163172
263,72604
264,25569
265,94791
266,163173
267,163174
268,163175
269,163176
270,163177
271,163178
272,22986
273,163184
274,163181
275,163180
276,163183
277,163185
278,39486
279,163186
280,163189
281,163187
282,39488
283,163188
284,7810
285,39489
286,39485
287,86570
288,104903
289,86567
290,7306
291,54667
292,208185
293,216539
294,222626
295,2653
296,341618
297,28715
298,74032
299,74030
300,74029
301,74028
302,74031
303,217853
304,20017
305,208975
306,271954
307,29440
308,271953
309,284747
310,255522
311,255523
312,255524
313,255525
314,96661
315,255526
316,255527
317,255528
318,96676
319,255529
320,11638
321,255530
322,255531
323,96675
324,255520
325,255521
326,221415
327,3464
328,96655
329,96656
330,96657
331,96658
332,96659
333,96660
334,96662
335,96663
336,96664
337,96665
338,14932
339,96667
340,96668
341,96670
342,96669
343,96649
344,96671
345,96672
346,96673
347,96674
348,96677
349,96683
350,96682
351,96681
352,96680
353,96678
354,96679
355,96684
356,96685
357,96686
358,96646
359,3461
360,96687
361,44624
362,96689
363,96688
364,96642
365,96644
366,96643
367,96645
368,95972
369,96647
370,96690
371,96648
372,96650
373,96651
374,96652
375,96653
376,96654
377,143716
378,203866
379,203867
380,213605
381,203869
382,302707
383,302708
384,341214
385,341213
386,341219
387,341216
388,341215
389,341220
390,341218
391,341217
392,263329
393,55515
394,263117
395,263328
396,36707
397,263319
398,51126
399,53871
400,53754
401,263320
402,57504
403,263323
404,263326
405,263327
406,7430
407,10063
408,100883
409,100885
410,55447
411,11076
412,53851
413,173481
414,173482
415,173483
416,55443
417,11075
418,175710
419,62049
420,62050
421,175711
422,175713
423,175712
424,175714
425,8972
426,11024
427,55450
428,62196
429,3545
430,94832
431,245892
432,56779
433,245891
434,63114
435,286
436,54058
437,245899
438,61330
439,245900
440,11990
441,9243
442,8946
443,245901
444,189920
445,8532
446,189919
447,8976
448,8973
449,63107
450,63111
451,94834
452,138052
453,102178
454,201405
455,21527
456,173238
457,173239
458,173240
459,173241
460,8974
461,6757
462,9396
463,61963
464,61687
465,3380
466,63112
467,63104
468,63103
469,63106
470,63113
471,63110
472,6758
473,135190
474,135192
475,9141
476,135191
477,21722
478,17341
479,11862
480,3383
481,9384
482,17342
483,17344
484,21736
485,9122
486,19375
487,21729
488,17346
489,259778
490,229557
491,276168
492,277111
493,277112
494,286674
495,45173
496,45067
497,215805
498,215806
499,215799
500,238546
501,238545
502,238550
503,238549
504,238548
505,238547
506,215808
507,215809
508,238544
509,238543
510,238537
511,238542
512,238541
513,238540
514,77595
515,27395
516,14899
517,215757
518,238539
519,5386
520,188939
521,215755
522,215756
523,175234
524,218751
525,216401
526,220572
527,216402
528,216403
529,77591
530,77593
531,141088
532,141089
533,141090
534,215753
535,215754
536,188938
537,253938
538,253935
539,332530
540,332532
541,115526
542,33839
543,332529
544,332528
545,214452
546,69217
547,246500
548,296128
549,296129
550,54455
551,42326
552,42327
553,81875
554,228617
555,211733
556,211742
557,211740
558,174741
559,100086
560,211743
561,19664
562,211741
563,73532
564,211739
565,211884
566,73118
567,58634
568,81872
569,211734
570,211735
571,211736
572,61081
573,211738
574,61047
575,100889
576,10686
577,27810
578,211825
579,42036
580,232435
581,232436
582,232437
583,232438
584,232439
585,232440
586,61048
587,100896
588,100895
589,100899
590,100901
591,100891
592,100900
593,100902
594,100897
595,100894
596,100892
597,68158
598,139177
599,141791
600,163941
601,61110
602,163943
603,212179
604,226049
605,227115
606,227116
607,227113
608,227114
609,226557
610,226556
611,227112
612,115013
613,336781
614,26518
615,25370
616,26524
617,26527
618,26526
619,172144
620,294285
621,300035
622,364726
623,71597
624,33334
625,9728
626,215448
627,215449
628,215450
629,215451
630,215452
631,215453
632,215454
633,215439
634,215447
635,167009
636,11641
637,51808
638,215455
639,121119
640,121120
641,17754
642,215456
643,12593
644,121118
645,188854
646,132859
647,121121
648,188855
649,188856
650,72351
651,72352
652,169673
653,207252
654,154855
655,28699
656,72354
657,196355
658,196360
659,196357
660,196359
661,196356
662,196358
663,28701
664,49239
665,100461
666,196354
667,138395
668,138393
669,208007
670,45417
671,138397
672,224523
673,312331
674,223582
675,332669
676,138060
677,138064
678,331586
679,12610
680,330672
681,166595
682,345752
683,118082
684,118083
685,201435
686,289140
687,289139
688,289141
689,207616
690,28756
691,331029
692,331024
693,331025
694,331030
695,217589
696,98079
697,217590
698,207621
699,207622
700,59909
701,207613
702,207614
703,207615
704,207617
705,207618
706,207619
707,207620
708,207604
709,207602
710,207603
711,29087
712,207605
713,207606
714,207607
715,207608
716,207609
717,11745
718,207600
719,207610
720,207611
721,207612
722,207599
723,207601
724,54749
725,207598
726,207597
727,207623
728,207624
729,207626
730,207627
731,207628
732,207629
733,207632
734,207630
735,207593
736,207631
737,201374
738,124077
739,207633
740,124078
741,207634
742,207941
743,124076
744,124079
745,144358
746,54841
747,207679
748,207596
749,54839
750,54831
751,201376
752,207595
753,207592
754,207591
755,207594
756,54832
757,54833
758,54834
759,54734
760,54735
761,38133
762,54736
763,38140
764,54737
765,54738
766,54739
767,7123
768,174856
769,174857
770,174859
771,174858
772,174860
773,285058
774,286577
775,361917
776,361916
777,361915
778,363724
779,354692
780,248620
781,383201
782,383271
783,383159
784,3567
785,110031
786,110032
787,110033
788,76372
789,47469
790,46370
791,76369
792,32429
793,76368
794,76370
795,76661
796,76662
797,110115
798,110116
799,76664
800,76663
801,66228
802,66229
803,66231
804,20861
805,66232
806,63641
807,110117
808,19341
809,61627
810,63642
811,63643
812,32427
813,63645
814,89962
815,89961
816,6122
817,63648
818,63649
819,89963
820,82987
821,63640
822,48647
823,63730
824,63731
825,63647
826,63646
827,93739
828,215478
829,348554
830,348557
831,6121
832,18626
833,93738
834,100887
835,103833
836,348553
837,169920
838,331842
839,169915
840,336177
841,373351
842,1879
843,207571
844,359015
845,359032
846,207572
847,207573
848,64122
849,207574
850,207575
851,14807
852,207576
853,175984
854,25808
855,86553
856,328805
857,328806
858,33775
859,25861
860,26164
861,109543
862,106203
863,86535
864,103377
865,202801
866,208585
867,297079
868,297080
869,86522
870,231992
871,61385
872,346263
873,346262
874,80710
875,80711
876,80712
877,80709
878,39701
879,235827
880,235829
881,235844
882,235846
883,235845
884,235828
885,118437
886,235848
887,235847
888,235849
889,235850
890,235851
891,235831
892,235830
893,39652
894,235852
895,233508
896,235832
897,235853
898,233509
899,233518
900,233486
901,235833
902,235834
903,235854
904,233516
905,233506
906,233517
907,235835
908,235856
909,235855
910,144238
911,144240
912,233510
913,2900
914,233511
915,19178
916,144241
917,144242
918,233507
919,235836
920,235837
921,235858
922,235857
923,44678
924,235859
925,233543
926,164189
927,164190
928,164191
929,164192
930,164185
931,164188
932,164186
933,386184
934,107704
935,310294
936,310282
937,302482
938,77724
939,153753
940,153750
941,153751
942,87973
943,225278
944,254997
945,6844
946,86803
947,213819
948,86804
949,213820
950,228119
951,228121
952,228122
953,228120
954,228118
955,228117
956,228116
957,183096
958,285193
959,361785
960,361786
961,95178
962,297066
963,7941
964,12811
965,275558
966,275560
967,275561
968,176080
969,87358
970,12038
971,12053
972,162435
973,61377
974,12027
975,12030
976,44545
977,44546
978,44547
979,44548
980,256333
981,164712
982,164711
983,59273
984,285130
985,285131
986,285132
987,358701
988,358700
989,358702
990,362048
991,7956
992,339144
993,362047
994,397
995,15168
996,1414
997,71641
998,11013
999,123
1000,196517
1001,11001
1002,11004
1003,11003
1004,11002
1005,19640
1006,19629
1007,11009
1008,17893
1009,100987
1010,105652
1011,50798
1012,10296
1013,117494
1014,21755
1015,118155
1016,100794
1017,284541
1018,21750
1019,160839
1020,21758
1021,105611
1022,117482
1023,246353
1024,22129
1025,9763
1026,118157
1027,225685
1028,100801
1029,359813
1030,359814
1031,167780
1032,115124
1033,262672
1034,330490
1035,25724
1036,330491
1037,59857
1038,59867
1039,59855
1040,59865
1041,59866
1042,59860
1043,59863
1044,59864
1045,59859
1046,59861
1047,59862
1048,255705
1049,39839
1050,255706
1051,157235
1052,255707
1053,255708
1054,59858
1055,39834
1056,255702
1057,227946
1058,255703
1059,157242
1060,148074
1061,255704
1062,34398
1063,39833
1064,39832
1065,39836
1066,39835
1067,59852
1068,59854
1069,59856
1070,255700
1071,255701
1072,34402
1073,59847
1074,59848
1075,255696
1076,255698
1077,255699
1078,59846
1079,255697
1080,163154
1081,59844
1082,113773
1083,163388
1084,59839
1085,59842
1086,59843
1087,228612
1088,228613
1089,100046
1090,162110
1091,228614
1092,35301
1093,59841
1094,58328
1095,59840
1096,228615
1097,228616
1098,8201
1099,8210
1100,8211
1101,8200
1102,8202
1103,8203
1104,8204
1105,35542
1106,19126
1107,162927
1108,8207
1109,11796
1110,8208
1111,162924
1112,75783
1113,8214
1114,8209
1115,17661
1116,8213
1117,36068
1118,59837
1119,59838
1120,16783
1121,8212
1122,6568
1123,540
1124,162928
1125,6569
1126,59836
1127,4487
1128,1076
1129,32499
1130,12438
1131,4544
1132,82471
1133,220638
1134,7218
1135,20028
1136,59835
1137,20025
1138,20027
1139,17809
1140,162316
1141,20026
1142,4171
1143,82001
1144,19585
1145,20023
1146,223683
1147,223682
1148,1086
1149,20022
1150,4273
1151,20021
1152,6497
1153,3685
1154,162930
1155,162929
1156,162931
1157,1075
1158,6427
1159,6426
1160,6564
1161,34069
1162,113906
1163,2813
1164,4575
1165,9837
1166,274
1167,259542
1168,181567
1169,16788
1170,223740
1171,266182
1172,266179
1173,266180
1174,266184
1175,77533
1176,343112
1177,135320
1178,75376
1179,6967
1180,75375
1181,12213
1182,12574
1183,39396
1184,73386
1185,73394
1186,55882
1187,10860
1188,71743
1189,55881
1190,79295
1191,102551
1192,58048
1193,146066
1194,12275
1195,73399
1196,12515
1197,232563
1198,236584
1199,9036
1200,9058
1201,9035
1202,236053
1203,236052
1204,236060
1205,138984
1206,256788
1207,256789
1208,256790
1209,379115
1210,296155
1211,296156
1212,46493
1213,82425
1214,11761
1215,289814
1216,289815
1217,11728
1218,289817
1219,289818
1220,11793
1221,289820
1222,249745
1223,289821
1224,247029
1225,81493
1226,289822
1227,132988
1228,289230
1229,289825
1230,119432
1231,11643
1232,216750
1233,39245
1234,83778
1235,196210
1236,196211
1237,196212
1238,11648
1239,201776
1240,246801
1241,298
1242,215518
1243,18656
1244,112350
1245,221975
1246,11639
1247,17209
1248,221976
1249,1547
1250,12619
1251,4667
1252,4666
1253,75699
1254,178297
1255,221978
1256,221979
1257,215773
1258,11642
1259,108335
1260,222021
1261,46168
1262,100262
1263,169278
1264,201775
1265,2371
1266,84075
1267,216412
1268,3704
1269,38916
1270,38917
1271,12525
1272,78692
1273,88550
1274,10768
1275,76161
1276,87264
1277,88551
1278,88552
1279,83330
1280,83331
1281,83329
1282,103206
1283,104077
1284,94110
1285,104076
1286,216425
1287,216426
1288,87398
1289,257511
1290,243949
1291,246137
1292,246135
1293,246134
1294,246136
1295,310717
1296,207934
1297,112365
1298,207936
1299,207935
1300,207929
1301,207933
1302,207931
1303,207930
1304,207928
1305,261168
1306,251724
1307,251726
1308,247012
1309,247001
1310,247010
1311,255676
1312,266020
1313,2457
1314,328625
1315,249786
1316,349076
1317,14728
1318,112555
1319,109861
1320,112553
1321,112554
1322,112552
1323,112551
1324,109860
1325,3673
1326,209773
1327,239994
1328,224162
1329,239993
1330,239995
1331,279487
1332,279484
1333,128128
1334,279485
1335,279486
1336,279488
1337,370719
1338,370720
1339,10780
1340,266480
1341,266481
1342,266482
1343,143279
1344,266483
1345,266484
1346,17538
1347,102858
1348,102857
1349,262310
1350,17535
1351,17537
1352,17536
1353,17533
1354,10797
1355,10806
1356,101169
1357,17558
1358,83094
1359,17232
