,RaceID,Web,Party,PartyID,Name,CandID,Votes,Share_x,Source,Source Link,Office,Contributor Name,ContributorID,Turnout,Type,Term Start Year,Term Start Month,Term End Year,Term End Month,Poll Year,Poll Month,State,County,City,Share_y,Index
88,571172, , Nonpartisan,92, Louis E. Saavedra,202494,512,0.66," Santa Fe Mexican, 10/4/1989", , Mayor, RBH,1989,,,1989,12,1993.0,11.0,1989,10, New Mexico , Bernalillo , Albuquerque ,0.79,1795.0
89,571172, , Nonpartisan,92, Pat Baca,224503,104,0.13," Santa Fe Mexican, 10/4/1989", , Mayor, RBH,1989,,,1989,12,1993.0,11.0,1989,10, New Mexico , Bernalillo , Albuquerque ,0.79,1795.0
90,571172, , Nonpartisan,92, Gov. David F. Cargo,13767,,," Santa Fe Mexican, 10/4/1989", , Mayor, RBH,1989,,,1989,12,1993.0,11.0,1989,10, New Mexico , Bernalillo , Albuquerque ,0.79,1795.0
93,264014, , Nonpartisan,92, Commissioner of Land Jim Baca,101356,61,0.08, , http://www.bernco.gov/upload/images/clerk/past_elections/municipal.html, Mayor, Thomas Walker,334,,,1997,11,2001.0,11.0,1997,10, New Mexico , Bernalillo , Albuquerque ,0.08,675.0
94,264014, http://www.newmexicoforvickie.com, Nonpartisan,92, Vickie S. Perea,110712,1,0.0, , http://www.bernco.gov/upload/images/clerk/past_elections/municipal.html, Mayor, Thomas Walker,334,,,1997,11,2001.0,11.0,1997,10, New Mexico , Bernalillo , Albuquerque ,0.08,675.0
95,264014, , Nonpartisan,92, Gov. David F. Cargo,13767,,, , http://www.bernco.gov/upload/images/clerk/past_elections/municipal.html, Mayor, Thomas Walker,334,,,1997,11,2001.0,11.0,1997,10, New Mexico , Bernalillo , Albuquerque ,0.08,675.0
96,264013, http://mayormarty.com/, Nonpartisan,92, Mayor Martin Chavez,497,139,0.14, , http://www.bernco.gov/upload/images/clerk/past_elections/results_10022001.htm, Mayor, Thomas Walker,334,22.16, General Election,2001,11,2005.0,11.0,2001,10, New Mexico , Bernalillo , Albuquerque ,0.23,674.0
97,264013, , Nonpartisan,92, Bob Schwartz,96625,88,0.09, , http://www.bernco.gov/upload/images/clerk/past_elections/results_10022001.htm, Mayor, Thomas Walker,334,22.16, General Election,2001,11,2005.0,11.0,2001,10, New Mexico , Bernalillo , Albuquerque ,0.23,674.0
98,264013, , Nonpartisan,92, City Councilmember Mike McEntee,94012,,, , http://www.bernco.gov/upload/images/clerk/past_elections/results_10022001.htm, Mayor, Thomas Walker,334,22.16, General Election,2001,11,2005.0,11.0,2001,10, New Mexico , Bernalillo , Albuquerque ,0.23,674.0
220,735836, , Nonpartisan,92, Speaker of the House Joe Hayes,133198,56,0.13, , http://news.google.com/newspapers?id=_aAeAAAAIBAJ&sjid=GKcEAAAAIBAJ&pg=1542%2C2526611, Mayor, RBH,1989,,,1981,12,1984.0,12.0,1981,10, Alaska , Anchorage , Anchorage ,0.13,2345.0
